homeTeam,awayTeam,homeOdd,drawOdd,awayOdd,homeVotingCount,drawVotingCount,awayVotingCount,homeGoals,awayGoals
Manchester City,Arsenal FC,1.25,6.25,11.5,19203,11816,8976,5,0
Newcastle United,Southampton FC,2.5,3.5,2.75,3700,5600,3663,2,2
Barnsley FC,Birmingham City,2.2,3.2,3.5,1092,1538,613,1,1
Derby County,Nottingham Forest,2.55,2.9,3.2,1711,1875,587,1,1
Fulham FC,Stoke City,1.87,3.3,4.75,2996,2767,655,3,0
Cardiff City,Bristol City,1.91,3.4,4.25,2385,2391,525,1,2
Liverpool FC,Chelsea FC,2.45,3.4,2.85,19404,17426,23699,1,1
Norwich City,Leicester City,4.4,3.5,1.85,2176,5536,8192,1,2
West Ham United,Crystal Palace,1.55,4.1,6.25,8818,5784,1485,2,2
Brighton & Hove Albion,Everton FC,2.35,3.3,3.1,3366,6658,6201,0,2
Peterborough United,West Bromwich Albion,5.5,3.7,1.67,612,1758,2371,0,1
Queens Park Rangers,Coventry City,2.2,3.2,3.5,1919,1718,395,2,0
Millwall FC,Blackpool FC,1.85,3.5,4.4,1116,1309,310,2,1
Aston Villa,Brentford FC,2,3.5,3.8,8666,7335,2488,1,1
Preston North End,Swansea City,2.35,3.3,3.1,655,1594,1021,3,1
Paide Linnameeskond,FC Kuressaare,1.19,3.6,10,14,6,5,4,1
Paide Linnameeskond,FC Kuressaare,1.19,3.6,10,14,6,5,4,1
Paide Linnameeskond,FC Kuressaare,1.19,3.6,10,114,62,19,4,1
Paide Linnameeskond,FC Kuressaare,1.19,3.6,10,114,62,19,4,1
Rovaniemi PS,Vaasan PS,1.9,3.4,3.3,37,45,11,3,2
FC Carl Zeiss Jena,SV Tasmania Berlin,1.24,5.75,9,15,18,3,5,0
Atlas Delmenhorst,VfV Hildesheim,2.75,3.4,2.2,4,5,2,4,1
VSG Altglienicke,1. FC Lok Leipzig,1.78,3.7,3.5,6,7,4,0,3
Schwarz-Weiß Rehden,FC Oberneuland,1.55,3.7,5.25,3,8,1,2,3
Valur Reykjavík,UMF Stjarnan,1.6,3.7,5.25,190,130,25,1,2
Kedah Darul Aman,Perak TBG,1.37,4.2,7,87,41,19,1,0
Florø SK,Asker SK,5,5,1.41,4,14,12,2,1
Kongsvinger IL,Moss FK,1.34,4.8,6.75,20,29,2,5,1
Tromsdalen UIL,FK Senja,1.26,5.5,8,15,25,4,2,0
Universidad Técnica,Alianza Universidad,1.83,2.87,4.6,12,14,1,1,0
Alianza Atlético,Carlos A. Mannucci,3.9,2.8,1.98,11,10,15,2,0
NK Tabor Sežana,FC Koper,2.6,3.6,2.35,12,33,45,0,1
SC Kriens,FC Winterthur,2.6,3.2,2.4,15,36,29,2,3
Flint Town United,Aberystwyth Town,1.9,3.75,3.1,44,21,9,1,0
Haverfordwest County,The New Saints,6.5,5.5,1.3,27,63,139,0,1
Cefn Druids,Barry Town United,5,3.75,1.55,14,14,14,1,4
Bala Town,Cardiff Metropolitan,1.53,4,4.75,62,39,8,0,0
Las Vegas Lights FC,Los Angeles Galaxy II,2.65,4.1,2.05,39,111,40,2,3
Dynamo Kiew,FC Kolos Kovalivka,1.28,5.5,10.5,447,214,42,7,0
Metalist 1925 Kharkov ,SC Dnipro-1,4.5,3.75,1.72,13,37,30,1,2
Inhulets Petrove,FC Mariupol,2.45,3.4,2.65,22,31,15,3,0
Vasteraas SK,Falkenbergs FF,2.1,3.4,3.2,24,30,14,1,3
AFC Eskilstuna,IK Brage,2.1,3.3,3.1,39,52,17,2,1
Landskrona BoIS,Helsingborgs IF,2.55,3.1,2.65,27,49,29,0,1
NK Maribor,NK Bravo,1.63,3.9,4.6,136,88,15,1,1
FK AS Trencin,SKF Sered,1.68,4,4.1,45,34,8,0,0
Tatran Liptovský Mikuláš,FK Senica,2.2,3.5,2.9,11,16,12,1,2
MFK Ruzomberok,MFK Zemplin Michalovce,1.95,3.4,3.5,25,23,6,0,0
FK Novi Pazar,FK Metalac,2.15,3.1,3,18,16,8,2,0
Radnik Surdulica,Spartak Subotica,2.15,3.25,2.87,22,18,9,1,2
Bucheon FC 1995,Daejeon Hana Citizen,3.6,3.1,1.95,18,69,62,4,2
Chungnam Asan FC,Busan IPark,2.45,3.1,2.65,59,93,14,3,2
Jeonbuk FC,Suwon FC,1.75,3.5,4.1,328,336,49,2,2
Daegu FC,Seongnam FC,2,3,3.7,194,273,42,3,1
Pohang Steelers,Suwon Bluewings,2,3.2,3.5,250,346,63,0,0
CD Nacional,Varzim SC,2,3.4,3.3,36,32,5,2,1
Casa Pia AC,SL Benfica B,2.4,3.2,2.8,16,48,57,4,2
Rio Ave FC,Leixões SC,1.66,3.5,5,87,50,10,2,1
Miedz Legnica,GKS Jastrzebie,1.51,3.9,6,48,29,3,1,1
Widzew Łódź,KS Polkowice,1.55,4,5.25,50,33,8,4,2
Arka Gdynia,Odra Opole,1.5,4,6,34,27,8,3,0
Gornik Zabrze,Piast Gliwice,2.45,3.1,2.9,41,49,43,0,1
Lech Poznan,Pogon Szczecin,1.83,3.7,3.9,151,90,31,1,1
Lechia Gdansk,Radomiak Radom,2.15,3.3,3.3,88,57,15,2,2
Termalica Bruk-Bet Nieciecza,KS Cracovia,2.7,2.95,2.7,30,45,24,1,2
Universitario de Deportes,Academia Cantolao,1.72,3.25,4.5,16,22,12,0,1
Klepp IL,Lyn Oslo,3.75,3.9,1.7,1,3,2,1,1
Eidsvold TF,Bærum SK,1.62,4.1,4,3,9,2,3,1
Kvik Halden,Alta IF,2.2,3.5,2.65,3,8,1,0,0
Sogndal IL,Ranheim IL,1.9,3.7,3.4,63,53,14,1,2
Sandnes Ulf,Grorud IL,1.7,3.7,4.4,43,42,8,2,3
FK Jerv,Fredrikstad FK,2.4,3.5,2.55,23,55,11,3,2
Aalesunds FK,Raufoss IL,1.65,4.2,4.1,74,79,11,4,2
Xolos de Tijuana,CF Monterrey,3.4,3.3,2,79,259,217,2,2
Puebla FC,Gallos Blancos,2.05,3.2,3.3,188,273,66,1,0
Selangor FC,Melaka United,1.61,3.6,4.6,54,33,6,1,1
UiTM FC,Sabah FA,3.2,3.25,1.98,13,21,27,4,0
Mito HollyHock,Albirex Niigata,3.1,3.1,2.1,41,210,119,4,0
Jubilo Iwata,SC Sagamihara,1.37,4.2,7.25,239,237,23,1,1
Giravanz Kitakyushu,Fagiano Okayama,3.5,3.1,1.98,49,167,76,0,0
Kyoto Sanga FC,Tokyo Verdy,1.7,3.6,4.1,265,296,47,3,1
FC Ryukyu,Blaublitz Akita,2.2,3.1,2.95,221,282,35,2,1
JEF United Ichijara Chiba,V-Varen Nagasaki,2.65,2.95,2.5,98,291,156,2,0
Renofa Yamaguchi,Montedio Yamagata,4,3.3,1.77,49,191,99,2,1
Paganese Calcio,ACR Messina,2.7,2.9,2.5,3,14,5,4,4
Monterosi FC,Foggia Calcio,3.2,3.2,2.05,10,14,18,0,0
Virtus Entella,Teramo Calcio,1.44,4,6,11,15,3,2,0
Monopoli,Catania,2.3,2.9,3,9,21,12,3,0
FC Legnago Salus,Mantova 1911 SSD,2.5,2.95,2.65,7,13,1,1,1
US Triestina,Seregno,1.46,4,6,21,15,4,0,0
Fermana FC,Viterbese,2.9,2.85,2.37,7,14,2,3,3
FC Südtirol,Virtus Verona,1.66,3.4,4.5,15,13,0,1,0
AC Renate,Padova,3.3,3,2.1,12,15,6,0,3
FeralpiSalò,US Fiorenzuola,1.57,3.6,5,8,13,6,1,2
MTK Budapest,Fehervar FC,4.6,3.75,1.66,63,46,45,1,2
Ferencvarosi TC,Debreceni VSC,1.33,5,7.75,260,131,41,4,2
Kisvárda FC,Mezõkövesd-Zsóry,2.35,2.8,3.2,52,29,7,2,0
Sportfreunde Lotte,FC Schalke 04 II,2.85,3.25,2.2,1,5,3,2,0
TSV Steinbach Haiger,TSV Schott Mainz,1.25,5.5,7.5,4,14,5,3,2
Alemannia Aachen,Rot-Weiß Oberhausen,3.1,3,2.2,4,6,2,1,3
SV Rödinghausen,VfB Homberg,1.52,3.75,5.5,1,2,1,0,1
SV 19 Straelen,Wuppertaler SV,3.4,3.5,1.88,7,7,2,1,4
Kickers Offenbach,SSV Ulm 1846,1.98,3.5,3.1,3,9,4,1,2
FC 08 Homburg,1899 Hoffenheim II,1.71,4.1,3.5,2,4,2,3,3
FSV Frankfurt,Hessen Kassel,1.49,4.1,5.25,4,3,4,1,0
